season,team,rank,game_played,wins,losses,wins_ratio,minutes_played,scoring_average,field_goals_made,field_goals_attempts,field_goals_percentage,three_points_made,three_points_attempts,three_points_percentage,free_throws_made,free_throws_attempts,free_throws_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,blocks_attempts,personal_fouls,personal_fouls_drawn,plus_minus
2019/2020,Milwaukee Bucks,1,39.0,33.0,6.0,0.846,48.1,118.9,43.5,90.9,47.9,13.9,39.1,35.5,17.9,24.5,73.2,9.9,41.5,51.4,25.9,14.6,7.8,6.4,4.6,19.3,21.6,11.8
2019/2020,Los Angeles Lakers,2,37.0,30.0,7.0,0.811,48.1,112.8,42.4,87.9,48.2,10.9,30.5,35.6,17.2,23.2,74.0,10.2,35.2,45.4,26.1,15.2,8.7,7.5,4.1,20.4,21.3,7.9
2019/2020,Miami Heat,3,37.0,27.0,10.0,0.73,48.8,111.4,39.4,84.0,46.9,12.6,33.4,37.9,19.9,26.0,76.8,9.1,36.6,45.7,25.1,16.2,7.7,4.1,4.2,20.6,22.0,4.1
2019/2020,Denver Nuggets,4,37.0,26.0,11.0,0.703,48.4,109.1,41.4,89.5,46.2,10.4,29.8,34.9,15.9,20.6,77.2,11.1,33.4,44.5,26.3,13.4,7.7,4.5,4.7,20.0,20.5,3.9
2019/2020,Boston Celtics,5,36.0,25.0,11.0,0.694,48.1,110.6,40.5,89.3,45.4,11.9,34.0,35.1,17.6,21.9,80.4,10.8,35.0,45.8,23.0,14.0,8.1,5.9,5.5,21.0,20.8,6.2
2019/2020,LA Clippers,6,38.0,26.0,12.0,0.684,48.1,115.8,41.6,90.1,46.2,11.8,32.4,36.3,20.8,26.3,79.0,11.4,36.5,47.9,23.3,15.8,7.7,5.0,5.0,22.3,23.5,6.0
2019/2020,Houston Rockets,7,37.0,25.0,12.0,0.676,48.3,118.7,41.2,90.9,45.3,15.4,44.2,34.9,20.9,26.8,78.0,11.2,36.0,47.2,21.4,14.9,8.0,4.9,4.7,21.6,21.6,4.8
2019/2020,Utah Jazz,8,37.0,25.0,12.0,0.676,48.0,109.0,39.3,84.0,46.8,12.6,32.3,39.0,17.8,23.3,76.5,8.6,37.1,45.7,21.8,15.4,5.8,4.1,4.9,20.6,21.1,3.1
2019/2020,Toronto Raptors,9,38.0,25.0,13.0,0.658,48.5,110.5,39.5,88.5,44.6,13.2,35.9,36.8,18.3,22.9,79.8,10.4,36.0,46.4,25.0,14.8,8.2,5.3,5.6,21.0,20.1,5.3
2019/2020,Philadelphia 76ers,10,39.0,25.0,14.0,0.641,48.3,109.8,41.3,87.6,47.1,10.8,29.9,36.3,16.4,21.9,74.6,10.2,35.9,46.1,26.6,15.1,8.2,5.6,3.9,21.4,20.8,4.0
2019/2020,Dallas Mavericks,11,37.0,23.0,14.0,0.622,48.4,116.4,41.4,89.6,46.2,15.1,41.4,36.5,18.6,23.8,78.2,10.9,36.5,47.4,24.6,13.1,6.6,4.7,3.9,19.4,21.4,7.2
